"ACROSOMA ","09/340.43.30","09/340.43.31","www.vdlfibertechindustries.com",NULL,NULL,NULL,"0413 110 231","1"
"ADVIONICS","050/83.18.11","050/83.18.03","www.advionics.be",NULL,NULL,NULL,"0477 143 394","2"
"AGUSTA AEROSPACE SERVICES (LEONARDO)","04/234.23.23","04/234.19.45","www.leonardocompany.com/en",NULL,NULL,NULL,"0416 453 068","3"
"ALCATEL-LUCENT BELL (BELL LABS BELGIUM - NOKIA)","03/240.40.11","03/240.99.99","www.bell-labs.com/connect/global-locations/Antwerp-belgium/",NULL,NULL,NULL,"0404 621 642","4"
"AMI METALS EUROPE ","071/37.67.99","071/35.24.30","www.amimetals.com",NULL,NULL,NULL,"0477 954 038","5"
"ASCO INDUSTRIES","02 716 06 11","02 716 07 70","www.asco.be",NULL,NULL,NULL,"0441 428 489","6"
"ATELIERS VLASSENROOT","02/467.62.11","02/466.19.26","www.vlassenroot.be",NULL,NULL,NULL,"0401 927 616","7"
"BARCO","056 23 32 11","056 23 32 79","www.barco.com",NULL,NULL,NULL,"0473 191 041","8"
"BELGIAN ADVANCED TECHNOLOGY SYSTEMS BELGIUM","04 367 08 88","04 367 13 14","www.bats.be",NULL,NULL,NULL,"0426 492 865","9"
"BELGIUM SECURITY SYSTEMS","056/48.71.57","056/48.51.09","www.belgiumsecuritysystems.be/",NULL,NULL,NULL,"0436 976 486","10"
"BRITTE-MUSTAD","04 256 90 69","04 264 08 63","www.britte.be",NULL,NULL,NULL,"0827 607 661","11"
"BROWNING INTERNATIONAL","04 240 52 11","04 240 52 12","www.browning.be",NULL,NULL,NULL,"0430 037 226","12"
"CAPAUL","087/59.55.60","087/74.04.68","www.capaul.be",NULL,NULL,NULL,"0413 664 814","13"
"CARAT DUCHATELET  - CAPITAL PEOPLE","04/349.55.55","04/349.55.75","www.caratbyduchatelet.com",NULL,NULL,NULL,"0474 617 733","14"
"CARROSSERIE MOEYERSONS (MOEYERSONS)","052/30.08.21","052/30.17.92","www.moeyersons.be",NULL,NULL,NULL,"0413 830 605","15"
"CK TECHNOLOGY","04/374.20.20","04/374.20.19","www.ck-techno.com",NULL,NULL,NULL,"0458 532 658","16"
"CLARK MASTS TEKSAM","089 38 44 72","089 38 61 41","www.clarkmasts.be/Francais/Index.html",NULL,NULL,NULL,"0414 041 530","17"
"CLEAVERS",NULL,NULL,,NULL,NULL,NULL,"0472 660 610","18"
"COCKERILL MAINTENANCE ET INGENIERIE","04/330.22.44","04/330.25.82","www.cmigroupe.com",NULL,NULL,NULL,"0422 362 447","19"
"DONCASTER SETTAS","071/34.44.88","071/34.56.11","www.doncasters.com",NULL,NULL,NULL,"0428 252 723","20"
"DUMA ENGINEERING GROUP","02/351.36.53",NULL,"www.duma-engineering.eu",NULL,NULL,NULL,"0885 503 991","21"
"ELOY & BECKER","04/224.96.90",NULL,"www.eloybecker.com",NULL,NULL,NULL,"0457 242 459","22"
"EPC BELGIQUE","085/27.47.90","085/27.47.99","www.epc-belgique.com",NULL,NULL,NULL,"0422 454 596","23"
"ETABLISSEMENT EMILE VANHULEN","04 289 99 99","04 289 00 09","www.vanhulen.be",NULL,NULL,NULL,"0404 447 933","24"
"EUROSURPLUS","04/ 278.36.01",NULL,"www.eurosurplus.be",NULL,NULL,NULL,"0604 934 263","25"
"FN HERSTAL","04 240 81 11","04 240 88 99","www.fnherstal.com",NULL,NULL,NULL,"0441 928 931","26"
"FORGES DE ZEEBRUGGE (THALES BELGIUM S.A.)","04 248 20 77","04 248 25 10","www.fz.be",NULL,NULL,NULL,"0434 342 145","27"
"GODDE","080/44.79.26","080/44.79.27","www.goedde.be",NULL,NULL,NULL,"0454 647 710","28"
"HEXCEL COMPOSITES","087 30 74 11","087 30 74 07","www.hexcel.com",NULL,NULL,NULL,"0402 459 235","29"
"ILIAS SOLUTIONS","02 708 81 50","02 708 81 79","www.ilias-solutions.com",NULL,NULL,NULL,"0405 937 080","30"
"JD'C INNOVATION","04/239.80.80","04/239.80.81","www.jdcinnovation.com/",NULL,NULL,NULL,"0882 544 503 ","31"
"JMR SECURITY","010/41.38.63","010/40.16.07","www.jmr-security.be",NULL,NULL,NULL,"0469 141 488","32"
"JONCKHEERE SUBCONTRACTING","051/23.28.00","051/23.28.90","www.jonckheeresub.com",NULL,NULL,NULL,"0415 663 608","33"
"LABORATORIUM VOOR ELECTRONISCHE TOEPASSINGEN","09/381.87.87","09/386.92.00","www.let.be",NULL,NULL,NULL,"0401 029 672","34"
"LPL FIREWORKS","0475650863",NULL,"www.lpl-fireworks.com",NULL,NULL,NULL,"0475 650 863","35"
"LUCIAD","016 23 95 91","016 29 34 22","www.luciad.com",NULL,NULL,NULL,"0465 607 621","36"
"MECAR","067 87 64 11","067 21 63 07","www.mecar.be",NULL,NULL,NULL,"0466 712 134","37"
"MECASPRING","04/240.55.70","04/240.55.79","www.mecaspring.be",NULL,NULL,NULL,"0476 963 945","38"
"MELOTTE","011/53.99.40","011/81.39.54","www.melotte.be",NULL,NULL,NULL,"0407 155 421","39"
"MOL COMPANY","051/70.16.81","051/70.30.38","www.molcy.com",NULL,NULL,NULL,"0426 586 303","40"
"MR EQUIPEMENT BENELUX","042/28.11.47","043/62.73.15","www.manurhin-group.com",NULL,NULL,NULL,"0474 826 975","41"
"MSC SOFTWARE BELGIUM","010/68.07.52","010/45.12.26","www.fft.be/",NULL,NULL,NULL,"0463 741 558","42"
"NEW LACHAUSSEE","04 248 88 11","04 248 88 00","www.lachaussee.com",NULL,NULL,NULL,"0446 425 969","43"
"NEWTEC","03/780.65.00","03/780.65.49","www.newtec.be",NULL,NULL,NULL,"0426 702 802","44"
"NEXANS HARNESSES","02 363 17 11","02 360 25 8","www.nexans.be",NULL,NULL,NULL,"0432 100 455","45"
"NIJKERK COMPUTER SOLUTIONS","03.544.96.66","03.544.99.01","www.nijkerk-ncs.com",NULL,NULL,NULL,"0473 783 236","46"
"OPTRONIC INSTRUMENTS AND PRODUCTS","055 333 811","055 333 802","www.oip.be",NULL,NULL,NULL,"0433 460 930","47"
"ORICA BELGIUM","071/24.37.40","071/24.37.68","www.orica.com",NULL,NULL,NULL,"0412 523 479","48"
"PB CLERMONT","42 738 282","42 738 260","www.pbclermont.be",NULL,NULL,NULL,"0441 128 086","49"
"PRATT & WHITNEY (BELGIUM ENGINE CENTER)","04 270 70 11","04 388 39 56","www.pw.utc.com",NULL,NULL,NULL,"898.937.602","50"
"PRECIMETAL FONDERIE DE PRECISION","064 522 000","064 522 010","www.precimetal.be",NULL,NULL,NULL,"0418 306 164","51"
"PRODATA SYSTEMS","02/722.13.11","02/722.13.99","www.prodata-systems.be",NULL,NULL,NULL,"440.587.460","52"
"QUALITY SPI NETWORK","010/39.01.11","010/39.01.10","www.qspin.be",NULL,NULL,NULL,"0872 733 843 ","53"
"ROOSEN FIJNCONSTRUCTIE","014/47.03.20","014/47.03.25","www.roosenindustries.com",NULL,NULL,NULL,"0472 001 604","54"
"SABCA LIMBURG","013 530 111","013 522 784","www.sabca.be",NULL,NULL,NULL,"0438 251 146","55"
"SABCA","02 729 55 11","02 705 15 70","www.sabca.be",NULL,NULL,NULL,"0405 770 992","56"
"SABENA AEROSPACE ENGINEERING","02/723.40.00","02/723.42.91","www.sabena-aerospace.com",NULL,NULL,NULL,"0465 150 137","57"
"SABIEX INTERNATIONAL","06 978 97 00","06 978 97 60","www.sabiex.com",NULL,NULL,NULL,"0435 148 928","58"
"SAIT","02/370.53.11","02/370.51.19","www.saitsystems.be/",NULL,NULL,NULL,"0447 379 341","59"
"SEPTENTRIO","016/30.08.00","016/22.16.40","www.septentrio.com",NULL,NULL,NULL,"0470 094 266","60"
"SEYNTEX","051 423 711","051 423 799","www.seyntex.com",NULL,NULL,NULL,"0423 039 962","61"
"SHUR-LOK INTERNATIONAL","087/32.07.11","087/32.07.12","www.shur-lok.eu",NULL,NULL,NULL,"0401  916 530","62"
"SIOEN INDUSTRIES","051 740 800","051 740 962","www.sioen.be",NULL,NULL,NULL,"0478 652 141","63"
"SONACA","071 255 111","071 344 035","www.sonaca.com",NULL,NULL,NULL,"0418 217 577","64"
"TACTICAL 5","02.888.77.47","02.706.23.20","www.tactical5.com",NULL,NULL,NULL,"000 000 000","65"
"TECHNICAL AIRBORNE COMPONENTS INDUSTRIES","04 264 97 50","04 248 16 20","www.tecairco.be",NULL,NULL,NULL,"475.197.357","66"
"TECHSPACE AERO (Safran Aero Boosters)",NULL,NULL,"www.safran-aero-boosters.com/",NULL,NULL,NULL,"0432 618 812","67"
"TELEDYNE ICM","087/44.01.50","087/44.01.60","www.teledyneicm.com",NULL,NULL,NULL,"0449 316 668","68"
"THALES ALENIA SPACE BELGIUM","02 391 22 11","02 391 23 00","www.thalesgroup.com",NULL,NULL,NULL,"0437 598 573","69"
"THALES BELGIUM ","02 391 22 11","02 391 23 00","www.thalesgroup.com",NULL,NULL,NULL,"0438 546 896","70"
"TOP DUTY GEAR BY CIA","047/79.34.322","071/85.38.63","www.topdutygear.com",NULL,NULL,NULL,"0455 123 109","71"
"TRI ICT BELUX","027/12.08.90","027/25.06.55","www.tri-ict.be/",NULL,NULL,NULL,"0829 389 590","72"
"UMICORE","02/227.71.11","02/227.79.00","www.umicore.be/",NULL,NULL,NULL,"0401 574 852","73"
"VAREC","015 21 78 92","015 20 55 27","www.varec.be",NULL,NULL,NULL,"0438 592 824","74"
"XENICS","016 38 99 00","016 38 99 01","www.xenics.com",NULL,NULL,NULL,"0473 044 848","75"
